probe_id,times_selected,mean_importance,median_importance,mean_rank,best_rank,selection_frequency_pct,gene_symbol
222962_s_at,11,0.0,0.0,144.45454545454547,56,55.0,MCM10
201291_s_at,11,0.0,0.0,178.54545454545453,62,55.0,TOP2A
232282_at,11,0.014524958,0.0046403455,67.72727272727273,11,55.0,WNK3
218662_s_at,11,0.0,0.0,176.8181818181818,80,55.0,NCAPG
212985_at,11,0.0,0.0,250.27272727272728,151,55.0,APBB2
230060_at,11,0.00027638706,0.0,196.8181818181818,59,55.0,CDCA7
204208_at,11,0.0,0.0,198.45454545454547,146,55.0,RNGTT
221677_s_at,11,0.01662737,0.0094250655,67.27272727272727,15,55.0,DONSON
210567_s_at,11,0.0,0.0,236.0909090909091,140,55.0,SKP2
209535_s_at,11,0.00048295147,0.0,214.36363636363637,50,55.0,
228559_at,11,0.000664045,0.0,173.72727272727272,44,55.0,CENPN
218009_s_at,11,0.0005529882,0.0,164.0,44,55.0,PRC1
219000_s_at,11,0.0,0.0,160.0,69,55.0,DSCC1
219455_at,11,0.019472014,0.003792288,89.0909090909091,10,55.0,CFAP69
201381_x_at,11,0.008982393,0.0,84.9090909090909,16,55.0,CACYBP
221258_s_at,10,0.0017290426,0.0,104.6,28,50.0,KIF18A
225379_at,10,0.00753017,0.0,123.8,12,50.0,MAPT
211110_s_at,10,0.0011257274,0.0,183.3,61,50.0,AR
212020_s_at,10,0.0,0.0,248.1,151,50.0,MKI67
211762_s_at,10,0.021370567,0.008747985,132.8,10,50.0,KPNA2
226961_at,10,0.042263947,0.01120623,87.0,5,50.0,PRR15
205381_at,10,0.00051853067,0.0,176.2,65,50.0,LRRC17
1568813_at,10,0.014166623,0.0066429675,72.0,19,50.0,SLC16A1-AS1
232210_at,10,0.0,0.0,180.6,66,50.0,
223259_at,10,0.013665011,0.012341993,59.8,19,50.0,ORMDL3
225191_at,10,0.0,0.0,160.1,56,50.0,CIRBP
205376_at,10,0.04821146,0.020015467,67.6,2,50.0,INPP4B
222958_s_at,10,0.0,0.0,139.4,52,50.0,DEPDC1
218039_at,10,0.0,0.0,154.9,69,50.0,NUSAP1
202089_s_at,10,0.000754833,0.0,161.1,36,50.0,SLC39A6
219006_at,10,0.00092351716,0.0,119.1,41,50.0,NDUFAF4
209644_x_at,10,0.0008382052,0.0,199.6,35,50.0,CDKN2A
209773_s_at,10,0.0,0.0,229.2,116,50.0,RRM2
201342_at,10,0.0,0.0,158.9,62,50.0,SNRPC
229360_at,10,0.0031186235,0.0,159.6,31,50.0,ZNF280B
210683_at,10,0.005012849,0.0,176.3,29,50.0,NRTN
218319_at,10,0.08084668,0.06828813,22.3,4,50.0,PELI1
